Title,Link,Type,Module
"INQ000104062 - Letter from Suella Braverman QC MP (Attorney General) and Robert Buckland QC MP (Lord Chancellor) to Mark Drakeford MS (First Minister of Wales) regarding use of single justice procedure in Wales, dated 08/02/2021.",https://covid19.public-inquiry.uk/documents/inq000104062-letter-from-suella-braverman-qc-mp-attorney-general-and-robert-buckland-qc-mp-lord-chancellor-to-mark-drakeford-ms-first-minister-of-wales-regarding-use-of-single-justice-procedur/,Type:Evidence,Module:Module 2B
"INQ000048876 - Draft paper titled fire break options and analysis, undated.",https://covid19.public-inquiry.uk/documents/inq000048876-draft-paper-titled-fire-break-options-and-analysis-undated/,Type:Evidence,Module:Module 2B
"INQ000048789 - Minutes of Welsh Government Cabinet meeting, Chaired by Vaughan Gething (Minister for Economy), regarding COVID 19, dated 04/03/2020.",https://covid19.public-inquiry.uk/documents/inq000048789-minutes-of-welsh-government-cabinet-meeting-chaired-by-vaughan-gething-minister-for-economy-regarding-covid-19-dated-04-03-2020/,Type:Evidence,Module:Module 2B
"INQ000349505_0002 - Paper titled proper decision making based on scientific and medical evidence and legal advice, undated.",https://covid19.public-inquiry.uk/documents/inq000349505_0002-paper-titled-proper-decision-making-based-on-scientific-and-medical-evidence-and-legal-advice-undated/,Type:Evidence,Module:Module 2B
"INQ000303219_0015 & 0024 - Jane Runeckles' WhatsApp messages from Ministers, dated between 13/06/2020 and 23/12/2021.",https://covid19.public-inquiry.uk/documents/inq000303219_0015-0024-jane-runeckles-whatsapp-messages-from-ministers-dated-between-13-06-2020-and-23-12-2021/,Type:Evidence,Module:Module 2B
"INQ000349531_0004 - Guidance from Welsh Government titled reference guide for policy owners, dated 22/05/2020.",https://covid19.public-inquiry.uk/documents/inq000349531_0004-guidance-from-welsh-government-titled-reference-guide-for-policy-owners-dated-22-05-2020/,Type:Evidence,Module:Module 2B
"INQ000104062_0001-0002 - Letter from Suella Braverman QC MP (Attorney General) and Robert Buckland QC MP (Lord Chancellor) to Mark Drakeford MS (First Minister of Wales) regarding use of single justice procedure in Wales, dated 08/02/2021.",https://covid19.public-inquiry.uk/documents/inq000104062_0001-0002-letter-from-suella-braverman-qc-mp-attorney-general-and-robert-buckland-qc-mp-lord-chancellor-to-mark-drakeford-ms-first-minister-of-wales-regarding-use-of-single-justic/,Type:Evidence,Module:Module 2B
"INQ000349910_0001, 0012-0013 - Paper titled rapid review of Covid-19 related fixed penalty notices, undated.",https://covid19.public-inquiry.uk/documents/inq000349910_0001-0012-0013-paper-titled-rapid-review-of-covid-19-related-fixed-penalty-notices-undated/,Type:Evidence,Module:Module 2B
"INQ000349180 - Email from OFM-Communications colleague (Welsh Government) to Steve Davies (EPS - Education Directorate, Welsh Government), Huw Owen (EPS - SED, Welsh Government) and colleagues, attaching a statement from Kirsty Williams (Minister for Education, Welsh Government), on school closures in Wales, dated 18/03/2020.",https://covid19.public-inquiry.uk/documents/inq000349180-email-from-ofm-communications-colleague-welsh-government-to-steve-davies-eps-education-directorate-welsh-government-huw-owen-eps-sed-welsh-government-and-colleagues-attach/,Type:Evidence,Module:Module 2B
"INQ000376650 - Eluned Morgan (Minister for Health and Social Services, Welsh Government) text messages with Mark Drakeford (First Minister of Wales), dated 22/03/2020.",https://covid19.public-inquiry.uk/documents/inq000376650-eluned-morgan-minister-for-health-and-social-services-welsh-government-text-messages-with-mark-drakeford-first-minister-of-wales-dated-22-03-2020/,Type:Evidence,Module:Module 2B
"INQ000048827_0002,0019 - Presentation from Covid-19 Analytical Hub, Knowledge and Analytical Services, Welsh Government titled COVID-19 data monitor, dated 20/04/2020.",https://covid19.public-inquiry.uk/documents/inq000048827_00020019-presentation-from-covid-19-analytical-hub-knowledge-and-analytical-services-welsh-government-titled-covid-19-data-monitor-dated-20-04-2020/,Type:Evidence,Module:Module 2B
"INQ000350632_0002 - Letter from Mark Drakeford MS (First Minister of Wales) to Robert Buckland QC MP (Lord Chancellor and Secretary of State for Justice, Ministry of Justice), and Suella Braverman QC (Attorney General, UK), regarding the single justice procedure in Wales, dated 02/03/2021.",https://covid19.public-inquiry.uk/documents/inq000350632_0002-letter-from-mark-drakeford-ms-first-minister-of-wales-to-robert-buckland-qc-mp-lord-chancellor-and-secretary-of-state-for-justice-ministry-of-justice-and-suella-braverman-qc/,Type:Evidence,Module:Module 2B
"INQ000066501_0001-0002 - Report from the Culture, Welsh Language and Communications Committee, Welsh Parliament titled the impact of the COVID-19 outbreak on the Welsh language, dated December 2020.",https://covid19.public-inquiry.uk/documents/inq000066501_0001-0002-report-from-the-culture-welsh-language-and-communications-committee-welsh-parliament-titled-the-impact-of-the-covid-19-outbreak-on-the-welsh-language-dated-december-2020/,Type:Evidence,Module:Module 2B
"INQ000349651_0001 - Letter from Jeremy Miles MS (Counsel General and Minister for European Transition, Welsh Government) to Suella Braverman (Attorney General, UK Government), regarding coronavirus legislation - divergence of the law in England and Wales, clarity for citizens and impact of a four nations approach on Welsh speakers, dated 29/06/2020.",https://covid19.public-inquiry.uk/documents/inq000349651_0001-letter-from-jeremy-miles-ms-counsel-general-and-minister-for-european-transition-welsh-government-to-suella-braverman-attorney-general-uk-government-regarding-coronavirus-le/,Type:Evidence,Module:Module 2B
"INQ000389184 - Witness statement of Jeremy Miles MS, Minister for Education and Welsh Language, Welsh Government, dated 13/12/2023.",https://covid19.public-inquiry.uk/documents/inq000389184-witness-statement-of-jeremy-miles-ms-minister-for-education-and-welsh-language-welsh-government-dated-13-12-2023/,Type:Evidence,Module:Module 2B
"INQ000321259 - Written Statement by Rebecca Evans (Minister for Finance and Trefnydd) on behalf of the Welsh Government titled Welsh Government response to the UK budget, dated 11/03/2020.",https://covid19.public-inquiry.uk/documents/inq000321259-written-statement-by-rebecca-evans-minister-for-finance-and-trefnydd-on-behalf-of-the-welsh-government-titled-welsh-government-response-to-the-uk-budget-dated-11-03-2020/,Type:Evidence,Module:Module 2B
"INQ000327594_0008 - Notebook extract (Book 2) of Eluned Morgan, Minister for Health and Social Services, Welsh Government, undated.",https://covid19.public-inquiry.uk/documents/inq000327594_0008-notebook-extract-book-2-of-eluned-morgan-minister-for-health-and-social-services-welsh-government-undated/,Type:Evidence,Module:Module 2B
"INQ000362237 - Witness statement of Kirsty Williams, former Minister for Education, Welsh Government, dated 05/12/2023.",https://covid19.public-inquiry.uk/documents/inq000362237-witness-statement-of-kirsty-williams-former-minister-for-education-welsh-government-dated-05-12-2023/,Type:Evidence,Module:Module 2B
"INQ000145526_003 - Ministerial Advice for decision by First Minister (Welsh Government) from James Gerard (Justice Policy Division) titled single justice procedure and coronavirus related offences, dated 27/01/2021.",https://covid19.public-inquiry.uk/documents/inq000145526_003-ministerial-advice-for-decision-by-first-minister-welsh-government-from-james-gerard-justice-policy-division-titled-single-justice-procedure-and-coronavirus-related-offences-da/,Type:Evidence,Module:Module 2B
"INQ000349314_0002 - Paper from Legal Services Department titled considerations relevant to review and possible exit strategy, the Health Protection (Coronavirus Restrictions) (Wales) Regulations 2020, dated 11/04/2020.",https://covid19.public-inquiry.uk/documents/inq000349314_0002-paper-from-legal-services-department-titled-considerations-relevant-to-review-and-possible-exit-strategy-the-health-protection-coronavirus-restrictions-wales-regulations-2020/,Type:Evidence,Module:Module 2B
"INQ000282461 - Witness Statement of Thomas Smithson, Deputy Director for Restart
and formerly COVID Project Team, Welsh Government, dated 25/09/2023.",https://covid19.public-inquiry.uk/documents/inq000282461-witness-statement-of-thomas-smithson-deputy-director-for-restartand-formerly-covid-project-team-welsh-government-dated-25-09-2023/,Type:Evidence,Module:Module 2B
"INQ000349939_0001-0002 - Paper from Legal Services, Welsh Government, titled imposing travel restrictions on residents in protected areas from entering Wales, dated 12/10/2020.",https://covid19.public-inquiry.uk/documents/inq000349939_0001-0002-paper-from-legal-services-welsh-government-titled-imposing-travel-restrictions-on-residents-in-protected-areas-from-entering-wales-dated-12-10-2020/,Type:Evidence,Module:Module 2B
"INQ000376661 - Eluned Morgan's (Minister for Health and Social Services, Welsh Government) text messages with Mark Drakeford, dated between 16/12/2021 and 10/02/2022.",https://covid19.public-inquiry.uk/documents/inq000376661-eluned-morgans-minister-for-health-and-social-services-welsh-government-text-messages-with-mark-drakeford-dated-between-16-12-2021-and-10-02-2022/,Type:Evidence,Module:Module 2B
"INQ000371645 - Witness statement of Eluned Morgan, Minister for Health and Social Services, Welsh Government, dated 14/12/2023.",https://covid19.public-inquiry.uk/documents/inq000371645-witness-statement-of-eluned-morgan-minister-for-health-and-social-services-welsh-government-dated-14-12-2023/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000145221_0002 - Ministerial Advice for decision by First Minister from Community Safety Division titled proposed increase of fixed penalty notice amounts for breaches of the Coronavirus Regulations, dated 19/05/2020.",https://covid19.public-inquiry.uk/documents/inq000145221_0002-ministerial-advice-for-decision-by-first-minister-from-community-safety-division-titled-proposed-increase-of-fixed-penalty-notice-amounts-for-breaches-of-the-coronavirus-regulation/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000331060 - Eluned Morgan's (Minister for Health and Social Services, Welsh Government) WhatsApp messages with Robin Swann (Minister of Health Northern Ireland), dated between 27/11/2021 and 28/11/2021.",https://covid19.public-inquiry.uk/documents/inq000331060-eluned-morgans-minister-for-health-and-social-services-welsh-government-whatsapp-messages-with-robin-swann-minister-of-health-northern-ireland-dated-between-27-11-2021-and-28-11/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000350094 - Emails between Lee Waters (Deputy Minister for Economy and Transport) and (Private Secretary Deputy Minister Economy and Transport, Welsh Government) regarding a review of post-firebreak restrictions, between 19/11/2020 and 15/12/2020.",https://covid19.public-inquiry.uk/documents/inq000350094-emails-between-lee-waters-deputy-minister-for-economy-and-transport-and-private-secretary-deputy-minister-economy-and-transport-welsh-government-regarding-a-review-of-post-firebrea/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000349494_0002 - Paper titled Welsh Government decision making process for easing coronavirus restrictions, undated.",https://covid19.public-inquiry.uk/documents/inq000349494_0002-paper-titled-welsh-government-decision-making-process-for-easing-coronavirus-restrictions-undated/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000388561 - Eluned Morgan's (Minister for Health and Social Services, Welsh Government) text messages with Clare Jenkins (Special Advisor, Welsh Government), dated 14/07/2021.",https://covid19.public-inquiry.uk/documents/inq000388561-eluned-morgans-minister-for-health-and-social-services-welsh-government-text-messages-with-clare-jenkins-special-advisor-welsh-government-dated-14-07-2021/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000346272 - Witness statement of Rebecca Evans, Minister for Finance and Local Government, Welsh Government, dated 01/11/2023.",https://covid19.public-inquiry.uk/documents/inq000346272-witness-statement-of-rebecca-evans-minister-for-finance-and-local-government-welsh-government-dated-01-11-2023/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000215411_0004-0006 - Paper from Ministerial Advice MA/FM/1722/20 titled doc 6: (stage 2) assessment of specific restrictions and measures: being outdoors and staying local, undated.",https://covid19.public-inquiry.uk/documents/inq000215411_0004-0006-paper-from-ministerial-advice-ma-fm-1722-20-titled-doc-6-stage-2-assessment-of-specific-restrictions-and-measures-being-outdoors-and-staying-local-undated/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000327596_0059 - Notebook extract (Book 4) of Eluned Morgan, Minister for Health and Social Services, Welsh Government, dated between 19/07/2021 and 03/08/2021.",https://covid19.public-inquiry.uk/documents/inq000327596_0059-notebook-extract-book-4-of-eluned-morgan-minister-for-health-and-social-services-welsh-government-dated-between-19-07-2021-and-03-08-2021/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000321258 - Letter from Rebecca Evans (Minister for Finance and Trefnydd, Welsh Government) to Rishi Sunak MP (Chancellor of the Exchequer, UK Government), regarding fiscal and economic policy and other matters, dated 06/03/2020.",https://covid19.public-inquiry.uk/documents/inq000321258-letter-from-rebecca-evans-minister-for-finance-and-trefnydd-welsh-government-to-rishi-sunak-mp-chancellor-of-the-exchequer-uk-government-regarding-fiscal-and-economic-policy-and/,"Type:Evidence, Witness Statement",Module:Module 2B
"INQ000227609_0001 - Paper from Ministerial Advice MA/FM/1533/20 titled doc 12: review of lockdown and coronavirus restrictions, undated.",https://covid19.public-inquiry.uk/documents/inq000227609_0001-paper-from-ministerial-advice-ma-fm-1533-20-titled-doc-12-review-of-lockdown-and-coronavirus-restrictions-undated/,Type:Evidence,Module:Module 2B
"INQ000066172_0002 - Letter from Rebecca Evans MS (Minister for Finance and Trefnydd, Welsh Government) to Rishi Sunak MP (Chancellor of the Exchequer, UK Government), regarding current  economic conditions, dated 03/07/2020.",https://covid19.public-inquiry.uk/documents/inq000066172_0002-letter-from-rebecca-evans-ms-minister-for-finance-and-trefnydd-welsh-government-to-rishi-sunak-mp-chancellor-of-the-exchequer-uk-government-regarding-current-economic-condi/,Type:Evidence,Module:Module 2B
"INQ000350014_0001 - 0003, 0005-0006 - Paper titled review of fixed penalty notices, undated.",https://covid19.public-inquiry.uk/documents/inq000350014_0001-0003-0005-0006-paper-titled-review-of-fixed-penalty-notices-undated/,Type:Evidence,Module:Module 2B
"INQ000376453 - Email chain between (Senior Private Secretary, Welsh Government), (Legal Services Department, Welsh Government) and colleagues regarding advice on competence to ban mass gatherings, dated 13/03/2020.",https://covid19.public-inquiry.uk/documents/inq000376453-email-chain-between-senior-private-secretary-welsh-government-legal-services-department-welsh-government-and-colleagues-regarding-advice-on-competence-to-ban-mass-gatherings-dat/,Type:Evidence,Module:Module 2B
"INQ000181739 - Statement by Heléna Herklots CBE, Older People’s Commissioner for Wales, titled action needed to protect older people and workers in care homes in Wales, undated.",https://covid19.public-inquiry.uk/documents/inq000181739-statement-by-helena-herklots-cbe-older-peoples-commissioner-for-wales-titled-action-needed-to-protect-older-people-and-workers-in-care-homes-in-wales-undated/,Type:Evidence,Module:Module 2B
"INQ000048876_0002 - Draft paper titled fire break options and analysis, undated.",https://covid19.public-inquiry.uk/documents/inq000048876_0002-draft-paper-titled-fire-break-options-and-analysis-undated/,Type:Evidence,Module:Module 2B
"INQ000388430_0001 - WhatsApp messages between Vaughan Gething (Minister for the Economy) and Kirsty Williams (Minister for Education in the Welsh Government), dated between 07/05/2020 and 30/04/2023.",https://covid19.public-inquiry.uk/documents/inq000388430_0001-whatsapp-messages-between-vaughan-gething-minister-for-the-economy-and-kirsty-williams-minister-for-education-in-the-welsh-government-dated-between-07-05-2020-and-30-04-2023/,Type:Evidence,Module:Module 2B
"INQ000233747_0002 - Email between the Private Office of the Secretary of State for Health and Social Care (DHSC) to Emma Reed (Director of emergency preparedness and health protection, DHSC) and colleagues, regarding coronavirus meeting readout 29/01, dated 29/01/2020.",https://covid19.public-inquiry.uk/documents/inq000233747_0002-email-between-the-private-office-of-the-secretary-of-state-for-health-and-social-care-dhsc-to-emma-reed-director-of-emergency-preparedness-and-health-protection-dhsc-and-colle/,Type:Evidence,Module:Module 2B
"INQ000215172_0001 - 0002 - Minutes of COVID 19 Core Group meeting, regarding public health, public services and schools updates, dated 18/03/2020.",https://covid19.public-inquiry.uk/documents/inq000215172_0001-0002-minutes-of-covid-19-core-group-meeting-regarding-public-health-public-services-and-schools-updates-dated-18-03-2020/,Type:Evidence,Module:Module 2B
"INQ000056210_0004 - Minutes of the COBR COVID-19 (M)(11) meeting, Chaired by Boris Johnson (Prime Minister), regarding next steps for intervention, dated 16/03/2020.",https://covid19.public-inquiry.uk/documents/inq000056210_0004-minutes-of-the-cobr-covid-19-m11-meeting-chaired-by-boris-johnson-prime-minister-regarding-next-steps-for-intervention-dated-16-03-2020/,Type:Evidence,Module:Module 2B
"INQ000056217_0005 - Minutes of the COBR COVID-19 UK Preparedness (M)(6) meeting, Chaired by Boris Johnson MP (Prime Minister of the United Kingdom), regarding covid-19 situation update dated 02/03/2020.",https://covid19.public-inquiry.uk/documents/inq000056217_0005-minutes-of-the-cobr-covid-19-uk-preparedness-m6-meeting-chaired-by-boris-johnson-mp-prime-minister-of-the-united-kingdom-regarding-covid-19-situation-update-dated-02-03-202/,Type:Evidence,Module:Module 2B
"INQ000321016_0001 - 0005 & 0007 - Paper from Welsh Government titled applying the new alert level restrictions in Wales, undated.",https://covid19.public-inquiry.uk/documents/inq000321016_0001-0005-0007-paper-from-welsh-government-titled-applying-the-new-alert-level-restrictions-in-wales-undated/,Type:Evidence,Module:Module 2B
"INQ000396461_0001 - Email from William Whiteley (Head of Cabinet Division, Office of the First Minister) to Private Secretary Counsel General and Minister for European Transition and colleagues regarding Covid pandemic - saving documents of business value, dated 19/04/2021.",https://covid19.public-inquiry.uk/documents/inq000396461_0001-email-from-william-whiteley-head-of-cabinet-division-office-of-the-first-minister-to-private-secretary-counsel-general-and-minister-for-european-transition-and-colleagues-regard/,Type:Evidence,Module:Module 2B
"INQ000321014_0001 - Email from Andrew Goodall (Director General for Health & Social Services, Welsh Government) to Vaughan Gething (Minister for Health and Social Services & Cabinet Secretary, Welsh Government) and Clare Jenkins (Special Advisor) and others, regarding medical directors' concerns about the system's ability to manage into January, dated 15/12/2020.",https://covid19.public-inquiry.uk/documents/inq000321014_0001-email-from-andrew-goodall-director-general-for-health-social-services-welsh-government-to-vaughan-gething-minister-for-health-and-social-services-cabinet-secretary-welsh-g/,Type:Evidence,Module:Module 2B
"INQ000327606_0005 - 0007, 0015 - Collection of papers from Jane Runeckles (Special Advisor to the First Minister), dated between 05/06/2020 and 19/06/2020.",https://covid19.public-inquiry.uk/documents/inq000327606_0005-0007-0015-collection-of-papers-from-jane-runeckles-special-advisor-to-the-first-minister-dated-between-05-06-2020-and-19-06-2020/,Type:Evidence,Module:Module 2B
